Model ID,PubMed ID,Author,Year,Journal,Title,Primary Index Condition,Secondary Index Condition,Outcome,Model Sample Size,Cohort Sample Size,Number of Events,Follow-Up Duration,AUROC,Calibration Reported,Covariates,MH
90-001-01,2144989,Sahasakul,1990,British Heart Journal,Multivariate analysis in the prediction of death in hospital after acute myocardial infarction,Coronary Artery Disease (CAD),Acute Coronary Syndrome (ACS),Mortality,111,111,17,Short (< 3 months),,No,"Age, Wall Motion Score Index","Adult; Age Factors; Aged; Aged, 80 and over; Aspartate Aminotransferases/blood; Cardiomegaly/etiology; Creatine Kinase/blood; Electrocardiography; Female; Humans; L-Lactate Dehydrogenase/blood; Logistic Models; Male; Middle Aged; Multivariate Analysis; Myocardial Infarction/complications/enzymology/*mortality/physiopathology; Prognosis; Prospective Studies; Risk Factors; Stroke Volume"
90-001-02,2246419,Kentsch,1990,Intensive Care Medicine,Early prediction of prognosis in out-of-hospital cardiac arrest,Cardiac Arrest,N/A,Mortality,205,205,23,Short (< 3 months),,Yes,"Bystander Resuscitation, ECG, Respiration, Pupil Shape, Aspiration, Age","Aged; Decision Making; Electrocardiography; Emergency Medical Services/*standards; Female; Germany, West/epidemiology; Heart Arrest/*mortality/physiopathology/therapy; Humans; Male; Middle Aged; Outcome and Process Assessment (Health Care); Predictive Value of Tests; Prognosis; Resuscitation/*standards; Survival Analysis"
90-001-03,2330896,Cabin,1990,American Journal of Cardiology,Risk for systemic embolization of atrial fibrillation without mitral stenosis,Arrhythmia,N/A,Systemic Embolization,272,272,27,Long (> 6 months),,No,"Structural Heart Disease, Sex, Left Atrial Size",Aged; Atrial Fibrillation/*complications; Echocardiography; Embolism/epidemiology/*etiology; Female; Follow-Up Studies; Heart Valve Prosthesis; Humans; Incidence; Intracranial Embolism and Thrombosis/etiology; Male; Mitral Valve; Mitral Valve Stenosis/*complications; Multivariate Analysis; Risk Factors; Sex Factors
91-001-01,1657248,Nieuwenhuis,1991,Blood,Identification of risk factors for bleeding during treatment of acute venous thromboembolism with heparin or low molecular weight heparin,Venous Thromboembolism (VTE),N/A,Hemorrhage,194,194,23,Short (< 3 months),,No,"Bleeding Diathesis, BSA, Recent Trauma or Surgery, WHO Grade","Dose-Response Relationship, Drug; Double-Blind Method; Factor Xa/metabolism; Factor Xa Inhibitors; Female; Hemorrhage/*chemically induced; Heparin/administration & dosage/*adverse effects/therapeutic use; Heparin, Low-Molecular-Weight/administration & dosage/*adverse; Humans; Male; Middle Aged; Multivariate Analysis; Prospective Studies; Regression Analysis; Risk Factors; Thromboembolism/*drug therapy"
91-001-02,1661018,Marwick,1991,Resuscitation,Prediction of survival from resuscitation: a progostic index derived from multivariate logistic model analysis,Cardiac Arrest,N/A,Mortality,710,710,193,Short (< 3 months),0.78,No,"Age, Asystole, CPR Delay, Defibrillation Delay, Ventricular Fibrillation","Aged; Cardiopulmonary Resuscitation/standards/*utilization; Female; Heart Arrest/mortality/*therapy; Hospital Bed Capacity, 500 and over; Humans; Male; Models, Statistical; Outcome Assessment (Health Care)/*statistics & numerical data; Prognosis; ROC Curve; Regression Analysis; Survival Analysis; Survival Rate"
91-001-03,1661018,Marwick,1991,Resuscitation,Prediction of survival from resuscitation: a prognostic index derived from multivariate logistic model analysis,Cardiac Arrest,N/A,Mortality,710,710,193,Short (< 3 months),0.71,No,"Age, Asystole, CPR Delay, Defibrillation, Defibrillation Delay, Intubation, Ventricular Fibrillation","Aged; Cardiopulmonary Resuscitation/standards/*utilization; Female; Heart Arrest/mortality/*therapy; Hospital Bed Capacity, 500 and over; Humans; Male; Models, Statistical; Outcome Assessment (Health Care)/*statistics & numerical data; Prognosis; ROC Curve; Regression Analysis; Survival Analysis; Survival Rate"
91-001-04,1661018,Marwick,1991,Resuscitation,Prediction of survival from resuscitation: a prognostic index derived from multivariate logistic model analysis,Cardiac Arrest,N/A,Mortality,710,710,106,Short (< 3 months),0.8,No,"Age, Asytole, Defibrillation, Defibrillation Delay, Intubation","Aged; Cardiopulmonary Resuscitation/standards/*utilization; Female; Heart Arrest/mortality/*therapy; Hospital Bed Capacity, 500 and over; Humans; Male; Models, Statistical; Outcome Assessment (Health Care)/*statistics & numerical data; Prognosis; ROC Curve; Regression Analysis; Survival Analysis; Survival Rate"
91-001-05,1745078,Selker,1991,Medical Care,A time-insensitive predictive instrument for acute myocardial infarction mortality: a multicenter study,Chest Pain,Acute Coronary Syndrome (ACS),Mortality,4099,4099,623,Long (> 6 months),0.82,Yes,"Age, Pulse, Q Waves, SBP, T Waves","Adult; Female; *Hospital Mortality; Humans; Likelihood Functions; *Logistic Models; Male; Middle Aged; Myocardial Infarction/*mortality; New England/epidemiology; Prognosis; Prospective Studies; Quality Assurance, Health Care; ROC Curve; Risk Factors; Sensitivity and Specificity; Severity of Illness Index; Time Factors"
91-001-06,1869731,Wilcox,1991,Journal of the American College of Cardiology,Prognostic significance of a predischarge exercise test in risk stratification after unstable angina pectoris,Coronary Artery Disease (CAD),Acute Coronary Syndrome (ACS),Major Adverse Cardiac Events (MACE),107,107,29,Long (> 6 months),,No,"Diabetes, Evolutionary T Wave Changes, Low RPP, Positive ECG, Rest Pain","Angina, Unstable/diagnosis/*epidemiology/therapy; Diabetes Mellitus/epidemiology; *Electrocardiography; *Exercise Test; Female; Humans; Male; Middle Aged; Multivariate Analysis; Patient Discharge; Predictive Value of Tests; Prognosis; Prospective Studies; Risk Factors"
91-001-07,1885480,Rodrigues,1991,Journal of the Association of Physicians of India,Predicting the immediate outcome of patients with cerebrovascular accident: a prognostic score,Stroke,N/A,Mortality,120,120,40,Short (< 3 months),,Yes,"Age, Altered Consciousness, Aspiration Pneumonitis, Hemiplegia, MOD at Onset, PAC, Previous Stroke, Seizures","Brain Damage, Chronic/diagnosis/*mortality; Cerebrovascular Disorders/diagnosis/*mortality; Female; Glasgow Coma Scale; Humans; Male; Middle Aged; Neurologic Examination; Prognosis; Survival Rate; Tomography, X-Ray Computed"
